name,Dimension_G,Dimension_S,Dimension_I,Dimension_C,Dimension_E,Dimension_R,weighted_mean,iso,country-code
Slovakia,0.35667299838699285,0.8586268538981954,0.2788303871616824,1.336393155897421,0.14538511192446546,-0.3156090082775156,0.44338324983187355,SVK,703
Poland,0.3487900270236082,0.8306003568961049,0.3721906932166428,1.2783079497205811,0.21701261976835073,-0.40697140857860914,0.43998837300777977,POL,616
Bulgaria,0.3007163270861546,0.4649425161973879,0.18812725591532176,1.326718390195433,0.10749550817863651,0.20257006254795396,0.43176167668681464,BGR,100
Chile,0.5992308543803436,0.2322285344551842,0.2496071766280592,1.1113681130043416,0.19260613811158744,0.17666791902783063,0.4269514559345578,CHL,152
Hungary,0.22713932323500818,0.8269274461797644,0.2865424817960043,1.3429876282481188,0.1382930046470866,-0.31017401320289284,0.41861931181718154,HUN,348
Bhutan,0.23684593113343622,0.5309928896078482,0.38514804745280995,1.0576731836080588,-0.054231743852709235,0.18480401175718175,0.3902053866177709,BTN,64
Serbia,0.14400880091430113,0.5694872192184681,0.1967490390278237,1.1861177419375175,0.012692187416505463,0.2206560999132312,0.38828518140464113,SRB,688
Montenegro,0.10123866672125736,0.31259376176933507,0.18036066449847432,1.2979717537111486,0.08164910423506766,0.22305561852135547,0.3661449282427731,MNE,499
Malaysia,0.1008241070215552,0.2716238506036537,0.13071609901931458,1.2748360155881013,0.1233297755764503,0.18972120587366859,0.348508508947124,MYS,458
North Macedonia,0.07062928500456422,0.464767174486588,0.03861017826609947,1.1977378866885917,0.07411283795418122,0.22461809738933713,0.345079243298227,MKD,807
Georgia,0.28188540048596156,0.5121941964849255,0.036306829246771866,0.8454674182496568,0.1556171932412701,0.20881779884548446,0.3400481394256783,GEO,268
Viet Nam,-0.3945853960125195,0.6839902653894414,0.14840150851929224,1.456979652994514,-0.07200096757289365,0.21699214998971306,0.33996286888459126,VNM,704
Fiji,0.008245905263629782,0.6460607716801994,-0.03763483640628851,1.133758614379669,0.003621982292265513,0.22188007852111813,0.3293220859550989,FJI,242
Costa Rica,0.3234308934039011,0.23355202578231626,0.17811273635549463,0.9215819071725918,0.0628802209688365,0.22454510906034075,0.32401714879058013,CRI,188
Mongolia,-0.07247667876049213,0.5982033841672358,0.07957823187183855,1.1366338991069749,0.06783625557405226,0.130003064039527,0.3232963593331894,MNG,496
Saudi Arabia,-0.1435451517687542,0.3033697864258593,,1.250920108808835,0.1283897721016557,0.07351449920817377,0.32252980295515393,SAU,682
Dominican Republic,0.1382685527473978,0.44889827715628594,0.2967519745186351,0.9212913994043285,-0.07955702987481439,0.18448585069017331,0.31835650410700106,DOM,214
"Moldova, Republic of",0.1954898885744526,0.8733563674320199,0.06745507423616792,0.6724584879079394,0.01602559350667543,0.07551449259065646,0.31671665070798527,MDA,498
Kyrgyzstan,-0.40695002336226344,0.6000339381998305,0.13049043327070553,1.2712203984497101,0.047174255906449525,0.19402600847104912,0.3059991684892469,KGZ,417
Cuba,-0.239303836367459,,,1.1929727481990167,-0.09900687971235711,0.36449201077373705,0.30478851072323443,CUB,192
Kazakhstan,-0.592492101470757,0.6730648104759305,0.1404716343787853,1.2708272643039793,0.18273896894058017,0.14856409636689194,0.303862445499235,KAZ,398
Qatar,-0.27107629853348886,0.28804845888408304,0.0791663146839301,1.3405577136227902,0.16282755914412161,0.14417615817264695,0.29061665099568046,QAT,634
Indonesia,-0.22620796426561074,0.3534665492236855,0.10827763761861453,1.3679220148133935,-0.0705518058199065,0.20617279300673863,0.2898465374294858,IDN,360
Kuwait,0.08161624474719142,0.23034485929140902,-0.32278725064896263,1.3331209872078928,0.09209533616622922,0.3246728268994221,0.28984383394386365,KWT,414
Thailand,-0.44832189580266524,0.6861608788507969,0.09221950679787216,1.4361874742543908,0.026856022288516468,-0.05717899878971977,0.28932049793319853,THA,764
Romania,-0.02649517719241995,0.6086490983738073,0.1464658108690966,1.268546957489718,0.022853413500610098,-0.31951498869287687,0.28341751905798923,ROU,642
Peru,-0.015602660779706179,0.4588238822759174,0.3493177345534928,0.9178380474260369,-0.049532417239024684,0.02930483893554936,0.2816915708620442,PER,604
Vanuatu,0.15780295869770078,0.2694308776218466,-0.16721820980631386,1.326349153825886,-0.1997374394100362,0.2260407262241687,0.2687780111922087,VUT,548
Argentina,0.1222404128400626,0.04182588173311408,0.1678906249292349,1.2054646610453514,-0.028489331751662017,0.09463518731915199,0.26726123935254215,ARG,32
Philippines,-0.18744089078434523,0.40327906686733495,0.2106431234924684,1.1037924223791626,-0.15188001193446965,0.22262597501192494,0.26683661417201265,PHL,608
Tunisia,0.09245158853432989,0.15708278969136802,-0.018367801382126347,1.1056878429563963,0.037177943078181896,0.21976243866776057,0.2656324669243184,TUN,788
China,-0.3960083953721508,0.5060075499448735,0.16803652058647733,1.272044324431695,0.152634360207354,-0.12811665505231573,0.2624329507909889,CHN,156
Senegal,0.37844690848238205,0.28094392429440496,-0.08052952601821084,1.0362813525140266,-0.19715263061766153,0.13843961693425577,0.2594049409315328,SEN,686
Lesotho,0.4227069301654256,-0.04778038461816703,-0.24544361338850929,1.3905259375015333,-0.19161173840341006,0.21044428094299172,0.25647356869997745,LSO,426
Suriname,0.22523791451877206,0.08204145944684926,,0.9624460044428528,-0.08331064809335353,0.07469776544383189,0.25222249915179046,SUR,740
Morocco,-0.08290117766363064,0.23758229062838399,-0.051355125392749335,1.1283574039089972,0.03059415578178648,0.22636322740048243,0.2481067957772117,MAR,504
Belarus,-0.6980551061283785,0.7852007730754913,0.21437993272612954,1.299730049234765,0.1436628980322484,-0.3126635202497575,0.23870917111508305,BLR,112
Korea (Democratic People's Republic of),-0.862182808816083,,,1.4640027588932933,-0.15391590429383772,0.4999999999999999,0.23697601144584313,PRK,408
Namibia,0.7580413368591924,-0.39121495081906754,-0.023710216438501686,0.8917633974220152,-0.10786580469541862,0.20891515850074105,0.2226548201381601,NAM,516
Timor-Leste,-0.13580954366114673,0.6435336379639687,-0.32081005142639474,1.18336917334944,-0.1520462142384913,0.06839971383115195,0.21443945263642128,TLS,626
Ghana,0.08016478029233853,0.14298815017637523,-0.12990079135476096,1.2307007776674428,-0.12745005382399177,0.03974152390520669,0.20604073114376842,GHA,288
Gambia,0.05033718809211818,0.15955800816469812,-0.2140195709170999,1.351005800939587,-0.23226764337115713,0.07933654240940546,0.1989917208862587,GMB,270
Jordan,0.20744561222024593,-0.18356385235502404,-0.21703849827741029,1.2504641096497733,0.02064015880161707,0.10503057817351469,0.19716301803545275,JOR,400
El Salvador,-0.2844528000932519,0.5548034525780574,-0.005525812585250867,0.7840587343990293,-0.10558856594740662,0.20201196527982723,0.1908844956051674,SLV,222
Togo,0.0010523473182759702,0.2846579957643469,-0.13935769683099308,1.1021249072274686,-0.16738636225263337,0.050842240223632484,0.18865557190834958,TGO,768
Ecuador,-0.16122580003630027,0.35826859299488945,0.05912815936432514,0.8281084334091491,-0.1303208457481665,0.16701659868974716,0.1868291897789407,ECU,218
Russian Federation,-0.5282313088010555,0.5218275680215971,0.27376259867659725,1.1130566316382835,0.21018958859073977,-0.5,0.181767513021027,RUS,643
Bolivia (Plurinational State of),0.019868771111950956,0.39359105498662594,-0.05588579878332933,0.8657909208803428,-0.1873198593393104,0.050277855405727157,0.18105382404366788,BOL,68
Sri Lanka,-0.4883159581368268,0.11849782827401056,0.053566094367314854,1.254510790843614,-0.09218071647971116,0.2282729077485306,0.179058491102822,LKA,144
Panama,-0.1660875377100262,0.06644277001562515,0.10324287994987014,0.9294113034111443,-0.046749098178227144,0.1832039752915594,0.1782440487966576,PAN,591
Botswana,0.49022395282534914,-0.48010270700965285,-0.196034863325669,1.0306862939318966,-0.0030958721005035494,0.21915123975775208,0.1768046740131954,BWA,72
Côte d'Ivoire,-0.35728368944887157,0.5431907958708742,-0.17534594532869607,1.1740789500431887,-0.2058542840384675,0.07118775821372914,0.17499559755195948,CIV,384
Sierra Leone,0.09642705134772056,0.2514122544631474,-0.2706304200013412,1.0602835065662513,-0.2904058225055427,0.18642493972747987,0.17225191826628586,SLE,694
Benin,0.06273575476894167,0.40882852068705433,-0.1140213106470529,1.0152932462561346,-0.24312515002452761,-0.09776475796405693,0.17199105051274888,BEN,204
Turkey,-0.4788640385597066,-0.013057155596328807,0.3698022417913145,1.128052839847924,0.11460089157109332,-0.17235741292616324,0.1580295610213555,TUR,792
Malawi,-0.03867177255508725,0.25565952363036715,-0.4788947373632345,1.279845748393019,-0.2780990970647612,0.20695643420194743,0.15779934987370844,MWI,454
Kenya,0.04526950899285154,0.371835335258077,-0.1427618672997193,0.9651531402920843,-0.23700494622833412,-0.0675543986687861,0.15582279539102892,KEN,404
Nepal,0.02298242668972983,0.25495993420600516,-0.4143861946072007,0.9998647186938991,-0.1549250283201783,0.20404142546796145,0.15208954702170277,NPL,524
