name,Economic,Environmental,Human,Political,Security,Societal,Dimension_G,Dimension_S,Dimension_I,Dimension_C,Dimension_E,Dimension_R
Kenya,2,2,2,4,3,2,0.04526950899285154,0.371835335258077,-0.1427618672997193,0.9651531402920843,-0.23700494622833412,-0.0675543986687861
Togo,2,2,1,2,4,2,0.0010523473182759702,0.2846579957643469,-0.13935769683099308,1.1021249072274686,-0.16738636225263337,0.050842240223632484
Nicaragua,3,2,3,1,3,1,-0.7356818837257005,0.24448616912142507,-0.06505228329237023,0.8501790175243906,-0.1977512444737436,0.20593853863821154
Benin,2,2,1,4,3,2,0.06273575476894167,0.40882852068705433,-0.1140213106470529,1.0152932462561346,-0.24312515002452761,-0.09776475796405693
Lesotho,2,2,3,4,3,2,0.4227069301654256,-0.04778038461816703,-0.24544361338850929,1.3905259375015333,-0.19161173840341006,0.21044428094299172
Gambia,2,2,2,4,3,2,0.05033718809211818,0.15955800816469812,-0.2140195709170999,1.351005800939587,-0.23226764337115713,0.07933654240940546
West Bank & Gaza,2,3,3,2,3,1,,-0.44355647742159554,0.3114786987289,-0.8325249365515979,,0.1888557466219104
Honduras,3,2,3,2,3,3,0.10177021740976278,0.05199449783451349,0.10467675400982879,-0.09829368337050337,-0.22233185810199074,0.20992855994136794
Iran,1,1,4,2,4,1,-0.8538751137267727,-0.3645587836676756,0.06266627371145761,0.9618333017812176,-0.019269036665169437,-0.3053935806865503
Venezuela	,,,,,,,-1.5,0.020213540674341113,,0.5043031780908572,-0.22396682978372273,0.12074448196681342
