name,ind_I1,ind_I2,ind_I3,ind_I4,ind_I5,weighted_mean,iso_a3
Tunisia,-1.4565043817680356,1.5,-0.23342840247570273,,-0.8907726312304587,-0.27017635386854927,TUN
Namibia,-1.440498411783189,1.068,-0.4729965539021117,0.3350449293966624,-0.8627892056820409,-0.2746478483941358,NAM
Mauritania,-1.4774799653038806,1.3719999999999999,-0.6939059720983409,0.36328626444159184,-0.9755809919468231,-0.2823361329814906,MRT
Fiji,-1.4364454803554583,1.484,-0.2614683462265881,,-0.9312960803820176,-0.286302476741016,FJI
Morocco,-1.4603126601758638,1.476,-0.27664105871951383,,-0.9301906176815354,-0.29778608414422825,MAR
Bolivia,-1.4583409880479814,1.452,,,-0.8983935133560501,-0.30157816713467717,BOL
India,-1.4731691427604237,1.324,-0.3127451140035815,-0.08087291399229768,-0.9749311447974388,-0.3035436631107483,IND
Gabon,-1.3932517461858098,1.452,-0.4349538814979186,-0.22978177150192547,-0.9214222770919008,-0.305481935255511,GAB
Nicaragua,-1.4751075465712526,1.428,-0.263085551423093,,-0.9268082271676535,-0.30925033129049984,NIC
Myanmar,-1.4889005672661362,1.476,-0.36673338906299646,-0.25545571245186127,-0.965887353342294,-0.3201954044246576,MMR
Senegal,-1.483295712952617,1.356,-0.5626204628909981,0.0551989730423621,-0.9763051663247054,-0.3222044738251917,SEN
Yemen,-1.4951216701660548,1.116,-0.7237332623954473,-0.19127086007702188,,-0.323531448159631,YEM
Pakistan,-1.48341848695951,1.452,-0.6104193263934521,0.0038510911424904926,-0.9805366443737324,-0.32370467331684083,PAK
Benin,-1.4869848839543907,1.116,-0.6300937334769756,0.24261874197689348,-0.992722262277706,-0.3502364275464357,BEN
Ghana,-1.475754259528011,0.756,-0.46067687951024805,0.3324775353016688,-0.9696825723887113,-0.36352723522506036,GHA
Laos,-1.477613688422288,1.404,-0.4381781463125305,,-0.9709462741903395,-0.37068452723128953,LAO
Togo,-1.4914761109842838,0.82,-0.522595344468002,0.3222079589216945,-0.9853488830717303,-0.3714424759204643,TGO
Kenya,-1.4770542050237676,0.724,-0.13149516758491586,-0.014120667522464547,-0.9727884523755869,-0.374291698501347,KEN
Tajikistan,-1.490085361379752,1.388,-0.27664105871951383,-0.5738125802310654,-0.9539587416822195,-0.3812995484025102,TJK
Cameroon,-1.4837350774238973,0.8359999999999999,-0.6399294659098669,0.3478818998716303,-0.9826157961554377,-0.38447968792351433,CMR
Vanuatu,-1.4629390615587587,1.3159999999999998,-0.4450098744378128,,-0.9870957356953184,-0.39476116792297256,VUT
Côte d'Ivoire,-1.4722274571976084,1.308,-0.6995460005850946,-0.1707317073170731,-0.9733144346874436,-0.4015639199574439,CIV
Botswana,-1.406736214274567,1.172,-0.5833263709301568,,-0.8574579365271244,-0.4188801304329621,BWA
Nigeria,-1.4762645421195204,0.78,-0.7651790661613953,0.34017971758664955,-0.9778898487408844,-0.4198307478870301,NGA
Gambia,-1.4931515456069917,1.1400000000000001,-0.5576507527689416,-0.2605905006418483,-0.9982720554700877,-0.43393297089757377,GMB
Jordan,-1.449477283776726,,-0.10963327234318831,0.6970474967907574,-0.883775951485304,-0.43645975270361526,JOR
Angola,-1.465818164292532,0.5479999999999999,-0.7590664566329022,0.41206675224646994,-0.9760636365306772,-0.4481763010419284,AGO
Guinea-Bissau,-1.4935561452318662,1.1239999999999999,,,-0.9794227343448977,-0.44965962652558805,GNB
Lesotho,-1.49113589277344,0.572,-0.6297469576073584,0.2041078305519899,-0.9563963091654037,-0.46023426579884247,LSO
