name,ind_R1,ind_R2,ind_R3,weighted_mean,iso_a3
Tunisia,1.4901034067119203,0.9981509189775742,0.46314833128041255,0.9838008856566356,TUN
Estonia,1.5,0.9771283418608346,0.4717992267995118,0.9829758562201155,EST
Botswana,1.4654570830425682,0.9995891553836198,0.4829845270476665,0.9826769218246182,BWA
Vietnam,1.4991435640423778,,0.4582693662000554,0.9787064651212166,VNM
Belgium,1.49876292583899,0.915525750793314,0.49926449343679635,0.9711843900230335,BEL
Madagascar,1.5,0.9999333008057991,0.4093763411120646,0.969769880639288,MDG
Lesotho,1.4708811774408423,0.9998593151450049,0.4292553043970421,0.9666652656609632,LSO
Honduras,1.4173063503140266,0.9999075179240072,0.47993677435855836,0.9657168808655308,HND
Switzerland,1.49876292583899,0.8977237919108451,0.49985078321372445,0.9654458336545199,CHE
Greece,1.485821226923809,0.9098938726140675,0.4985660299393627,0.9647603764924132,GRC
eSwatini,1.4419526739833788,0.9993425365143057,0.4508615272860431,0.9640522459279092,SWZ
Namibia,1.4602233077459874,0.9973740695392347,0.4339624835809357,0.963853286955386,NAM
Georgia,1.4293916132715854,0.9843963120390083,0.47723481713430593,0.9636742474816332,GEO
Malawi,1.4696441032798324,0.9802917893572187,0.4308179839610357,0.9602512921993623,MWI
Indonesia,1.466408678551037,0.9945155326449117,0.4155064360265427,0.9588102157408304,IDN
Nicaragua,1.438241451500349,0.9998251248017591,0.43707172517137194,0.9583794338244934,NIC
Ukraine,1.4995242022457653,0.9985875464757463,0.3769077055618637,0.9583398180944585,UKR
Trinidad and Tobago,1.5,0.9980808567987918,0.37123116182486515,0.956437339541219,TTO
Nepal,1.3838101884159109,0.989036670264126,0.49182535775784186,0.9548907388126263,NPL
Netherlands,1.498953244940684,0.8669558459741852,0.49442060615574923,0.9534432323568728,NLD
Bulgaria,1.470405379686608,0.9011859845375574,0.4849635666028622,0.9521849769423424,BGR
El Salvador,1.3623041299245067,0.999941708267253,0.49123015482704985,0.9511586643396032,SLV
Austria,1.4992387235932245,0.8550480780683241,0.49806903684104575,0.9507852795008649,AUT
Canada,1.5,0.921182290859492,0.4189140752825251,0.9466987887140057,CAN
Italy,1.4995242022457653,0.8339913106083386,0.498164829041929,0.9438934472986776,ITA
Zimbabwe,1.4398591638647464,0.9941287894180327,0.3951670005127734,0.9430516512651842,ZWE
Sweden,1.5,0.844335290683776,0.4802033986840505,0.9415128964559422,SWE
Guinea-Bissau,1.4893421303051448,0.9999865480616738,0.32913814201443636,0.9394889401270851,GNB
Spain,1.4959081393135825,0.8237291631577192,0.4981128603080783,0.9392500542597934,ESP
Rwanda,1.4460445346697963,0.9323182538038859,0.43418111742623655,0.9375146352999728,RWA
Kyrgyzstan,1.4980968089830615,0.9998464237041089,0.3114754503292585,0.9364728943388095,KGZ
South Africa,1.465266763940874,0.9626731131344446,0.37992768837491514,0.9359558551500778,ZAF
Mexico,1.4202562963902812,0.9464282161132361,0.4403114481652518,0.935665320222923,MEX
United Kingdom,1.5,0.815602510916388,0.49035722016782063,0.9353199103614029,GBR
Armenia,1.4314851233902177,0.9805877320003957,0.38442150464882757,0.9321647866798138,ARM
Norway,1.5,0.9577883780297338,0.3353678330779911,0.9310520703692416,NOR
Malaysia,1.4744972403730254,0.9245828287688758,0.38658967219187546,0.9285565804445922,MYS
Palestine,1.3539300894499777,,0.5,0.9269650447249889,PSE
Sierra Leone,1.4930533527881749,,0.3519364751946456,0.9224949139914103,SLE
Bhutan,1.3838101884159109,,0.45521803072537814,0.9195141095706445,BTN
Dominican Rep.,1.2911247858910107,0.9996939684030783,0.4659683281655134,0.9189290274865343,DOM
Australia,1.5,0.9694921248709805,0.28114296741936906,0.9168783640967831,AUS
Panama,1.3112034511197108,0.9985561586196517,0.43995556096646254,0.9165717235686084,PAN
Czechia,1.498953244940684,0.7560647923819431,0.4935282792691979,0.9161821055306083,CZE
Afghanistan,1.276470215060585,0.9707650145350996,0.4929789875780946,0.9134047390579264,AFG
Tajikistan,1.3917084311362051,0.995175238120327,0.3517835547351006,0.9128890746638776,TJK
Burundi,1.4993338831440717,0.9525617394925648,0.2713262792344234,0.9077406339570199,BDI
Chile,1.491816278627165,0.9988044589812567,0.22303600404509788,0.9045522472178399,CHL
Mozambique,1.460699105500222,0.997201996828145,0.25575410918481206,0.9045517371710597,MOZ
United Arab Emirates,1.4816342066865444,0.9992158640950671,0.21108085623192924,0.8973103090045136,ARE
Ecuador,1.303876165704498,0.9663000920056531,0.3902356164529959,0.8868039580543824,ECU
France,1.498953244940684,0.6564520680813808,0.49946691583096076,0.8849574096176752,FRA
Brazil,1.3016874960350187,0.9621540925140244,0.3698918674783148,0.8779111520091193,BRA
Liberia,1.4908646831186958,0.9996524915932392,0.14093217666932767,0.8771497837937542,LBR
Gabon,1.3979889614921017,0.9998850980267968,0.19700282981014927,0.8649589631096827,GAB
New Caledonia,1.5,,0.2248800294740943,0.8624400147370471,NCL
Kazakhstan,1.4985726067372962,0.9998273667914801,0.06021224974418948,0.8528707410909885,KAZ
