name,ind_S1,ind_S2,ind_S3,ind_S4,ind_S5,ind_S6,ind_S7,weighted_mean,iso_a3
Belarus,1.4095477386934672,0.7538180892672195,0.7603622431208639,0.3389830508474576,0.9995517956188021,0.13510965879430892,0.3130609679390369,0.6729190777544508,BLR
United Kingdom,0.7914572864321604,0.8357508705780436,0.7492163009404389,0.9322033898305087,0.8766317440752983,0.059468774230591714,0.4518176601388352,0.6709351466036966,GBR
Sweden,1.07035175879397,0.830722649915457,0.49425287356321834,1.0,0.8388705249593815,0.023065496468581803,0.42846616721421193,0.6693899244164029,SWE
Canada,0.85929648241206,0.848334264631188,0.6412399860675722,1.0,0.7908006050759147,0.11727674135770905,0.39323023565205684,0.6643111878852145,CAN
Estonia,0.9346733668341706,0.7067269439834296,0.621037965865552,0.9322033898305087,0.9971987226175136,0.049137281278856526,0.40786371599160554,0.6641201980573765,EST
Ukraine,1.3190954773869343,0.6978972083282815,,0.593220338983051,0.9850972043251722,0.1276475420902654,0.251906592229877,0.6624773938905969,UKR
Australia,0.6633165829145727,0.8506806712939892,0.7513061650992685,0.9152542372881358,0.9026275981847722,0.10416200911084539,0.41682901194408617,0.6577394679765244,AUS
Cyprus,0.85929648241206,0.8304281805560003,0.5367467781260884,0.847457627118644,0.9723233794610342,0.2179268552809832,0.29897211048261163,0.6518787733482031,CYP
Croatia,1.0251256281407033,0.8036131826324496,0.5242075931731104,0.8305084745762712,0.9853213065157712,0.06525890632212206,0.303017216767251,0.6481503297325256,HRV
Germany,0.85929648241206,0.8475498233578048,0.7903169627307558,1.0,0.5572861224718472,0.06724822162411581,0.3942734717250952,0.6451387263316685,DEU
Switzerland,0.7537688442211051,0.8929428479251975,0.709508881922675,0.6779661016949152,0.9794946495601995,0.12432081102909676,0.34794305948274007,0.640849313690847,CHE
Armenia,1.1457286432160805,0.8276688997659454,0.41079763148728665,0.6610169491525424,0.9671690290772592,0.14412729215743803,0.31610150427717787,0.6389442784476758,ARM
Portugal,0.633165829145728,0.8367554933955834,0.5903866248693834,1.0,0.9353465180122136,0.07573375946413607,0.3456578614304938,0.6310065837596485,PRT
Thailand,0.603015075376884,0.8564896123350201,0.9435736677115988,0.4067796610169494,0.9654882626477674,0.21857027873601076,0.40000280254483067,0.6277027657670088,THA
Vietnam,0.4748743718592964,0.8893285421073449,0.9017763845350052,0.6779661016949152,0.9985433357611071,0.19925119305914096,0.2452425302813469,0.6267117798997367,VNM
Kazakhstan,1.1532663316582914,0.8343986878250353,0.6704980842911876,0.3389830508474576,0.9355706202028125,0.027337738188020766,0.39201210279734433,0.6217238022585928,KAZ
Fiji,0.9346733668341706,0.8739970045724689,0.6912574016022291,0.5254237288135593,0.9992156423329038,0.12015325294334966,0.12104603262312053,0.6093952042459717,FJI
Latvia,0.5577889447236175,0.7302015336695842,0.5346569139672588,1.0,0.996078211664519,0.036216354870737044,0.40282348148904157,0.6082522057692511,LVA
Timor-Leste,1.0854271356783918,0.9140366203233953,0.8846394984326019,0.6271186440677967,0.9993276934282033,-0.04248506314580647,-0.21037437652744306,0.6082414503224485,TLS
Albania,1.0326633165829144,0.8492066825453424,0.19895506792058515,0.7627118644067798,0.9895792481371506,0.1659830633091316,0.2150069681455561,0.60201517300678,ALB
South Korea,0.8819095477386935,0.867614566331071,0.8098223615464994,0.593220338983051,0.3067398733822623,0.25874865580232786,0.4585789868785449,0.5966620472374929,KOR
Lithuania,0.5351758793969847,0.7032778699050788,0.5938697318007662,0.8305084745762712,0.9920443722337385,0.07456691626482437,0.42289000221356077,0.5931904637701749,LTU
Romania,0.6407035175879393,0.7697173997870024,0.6182514803204457,0.745762711864407,0.9543952042131212,0.11867035499472267,0.2987045948396908,0.5923150376581898,ROU
Kyrgyzstan,1.0628140703517586,0.7682848452893455,0.7292232671543015,0.3728813559322033,0.981847722561488,-0.012470860483766999,0.21609231732540712,0.5883818168758196,KGZ
Mongolia,0.7839195979899495,0.7545119810953118,0.5764541971438524,0.745762711864407,0.9903636058042468,0.04644159255967362,0.21536890107421403,0.5875460839330936,MNG
Cambodia,,0.8647385081278312,0.993312434691745,0.4915254237288136,0.9903636058042468,0.1133097981765393,0.006634912484917543,0.5766474471690155,KHM
Serbia,0.6105527638190953,0.7901114447801099,0.40411006617903167,0.8305084745762712,0.9456552187797636,0.10663489580309105,0.3334778817017353,0.5744358208055854,SRB
Japan,0.7688442211055276,0.8967353024982747,0.8279345175896899,0.42372881355932224,0.7998767437951706,-0.09733609895987771,0.36864277549652635,0.5697751821549477,JPN
El Salvador,0.3241206030150753,0.843884225333799,0.8000696621386276,0.6949152542372881,0.98969129923245,0.14384321234093955,0.17759973874886903,0.5677319992924355,SLV
Azerbaijan,,0.7690791472297756,0.6154649947753396,0.42372881355932224,0.9792705473696005,0.2221168562238146,0.3762621005867809,0.5643204099574389,AZE
Côte d'Ivoire,0.4447236180904517,0.8654977901410928,0.8356670149773598,0.8644067796610169,0.9986553868564065,-0.18113063226957016,0.10919201733321515,0.5624302821128533,CIV
Greece,0.7160804020100499,0.8163772830873142,0.14315569487983282,1.0,0.9471118830186565,0.05785703955585486,0.2251297001262046,0.5579588575254161,GRC
Bhutan,1.1005025125628138,0.861416686844279,0.5945663531870429,0.3220338983050848,,0.2742497989872261,0.18839897807525718,0.5568613713269507,BTN
