name,ind_E1,weighted_mean,iso_a3
Malaysia,0.3699893267293509,0.3699893267293509,MYS
Armenia,0.3678142585046168,0.3678142585046168,ARM
Uruguay,0.36268946846742234,0.36268946846742234,URY
Turkey,0.34380267471327997,0.34380267471327997,TUR
Bulgaria,0.32248652453590954,0.32248652453590954,BGR
Kuwait,0.2762860084986877,0.2762860084986877,KWT
Croatia,0.27401522581449533,0.27401522581449533,HRV
Montenegro,0.24494731270520298,0.24494731270520298,MNE
North Macedonia,0.22233851386254366,0.22233851386254366,MKD
Mongolia,0.2035087667221568,0.2035087667221568,MNG
Oman,0.20108441403445798,0.20108441403445798,OMN
Costa Rica,0.1886406629065095,0.1886406629065095,CRI
Azerbaijan,0.14437093498959597,0.14437093498959597,AZE
Kyrgyzstan,0.14152276771934857,0.14152276771934857,KGZ
Ukraine,0.14123200082484144,0.14123200082484144,UKR
Tunisia,0.11153382923454569,0.11153382923454569,TUN
Morocco,0.09178246734535944,0.09178246734535944,MAR
Thailand,0.0805680668655494,0.0805680668655494,THA
Uzbekistan,0.07577015648728358,0.07577015648728358,UZB
Romania,0.0685602405018303,0.0685602405018303,ROU
Jordan,0.06192047640485121,0.06192047640485121,JOR
Moldova,0.048076780520026285,0.048076780520026285,MDA
Serbia,0.03807656224951639,0.03807656224951639,SRB
Fiji,0.01086594687679654,0.01086594687679654,FJI
Bosnia and Herz.,-0.008147290452969025,-0.008147290452969025,BIH
Botswana,-0.009287616301510648,-0.009287616301510648,BWA
Albania,-0.014268876118164298,-0.014268876118164298,ALB
Iran,-0.05780710999550831,-0.05780710999550831,IRN
Argentina,-0.08546799525498605,-0.08546799525498605,ARG
Brazil,-0.1302532622081326,-0.1302532622081326,BRA
Jamaica,-0.13029882569250406,-0.13029882569250406,JAM
Mexico,-0.1368386894527175,-0.1368386894527175,MEX
Bahamas,-0.13821621374373938,-0.13821621374373938,BHS
Panama,-0.14024729453468143,-0.14024729453468143,PAN
Trinidad and Tobago,-0.14656942224218572,-0.14656942224218572,TTO
Peru,-0.14859725171707405,-0.14859725171707405,PER
Paraguay,-0.15908307733974636,-0.15908307733974636,PRY
Bhutan,-0.1626952315581277,-0.1626952315581277,BTN
South Africa,-0.16667871717278737,-0.16667871717278737,ZAF
Algeria,-0.19554584164330746,-0.19554584164330746,DZA
Colombia,-0.19686218216611517,-0.19686218216611517,COL
Tajikistan,-0.2095797641449919,-0.2095797641449919,TJK
Indonesia,-0.2116554174597195,-0.2116554174597195,IDN
Vietnam,-0.21600290271868094,-0.21600290271868094,VNM
Dominican Rep.,-0.23867108962444317,-0.23867108962444317,DOM
Suriname,-0.2499319442800606,-0.2499319442800606,SUR
Egypt,-0.2719336869519293,-0.2719336869519293,EGY
Sri Lanka,-0.27654214943913347,-0.27654214943913347,LKA
Cuba,-0.29702063913707133,-0.29702063913707133,CUB
El Salvador,-0.31676569784221986,-0.31676569784221986,SLV
Namibia,-0.32359741408625586,-0.32359741408625586,NAM
Rwanda,-0.36645965398986546,-0.36645965398986546,RWA
Guyana,-0.37657240890937693,-0.37657240890937693,GUY
Ghana,-0.3823501614719753,-0.3823501614719753,GHA
Ecuador,-0.3909625372444995,-0.3909625372444995,ECU
India,-0.40090445821259524,-0.40090445821259524,IND
Turkmenistan,-0.421292833877297,-0.421292833877297,TKM
Lebanon,-0.424905526092618,-0.424905526092618,LBN
Guatemala,-0.4397754081516092,-0.4397754081516092,GTM
Belize,-0.44218040068196574,-0.44218040068196574,BLZ
Laos,-0.4496466421978681,-0.4496466421978681,LAO
Philippines,-0.45564003580340895,-0.45564003580340895,PHL
Timor-Leste,-0.4561386427154739,-0.4561386427154739,TLS
North Korea,-0.4617477128815132,-0.4617477128815132,PRK
Nepal,-0.4647750849605349,-0.4647750849605349,NPL
Iraq,-0.4984311521594601,-0.4984311521594601,IRQ
Libya,-0.49939798776978783,-0.49939798776978783,LBY
Togo,-0.5021590867579001,-0.5021590867579001,TGO
Gabon,-0.5227922207043064,-0.5227922207043064,GAB
Djibouti,-0.524551647656252,-0.524551647656252,DJI
Zambia,-0.5491567114047194,-0.5491567114047194,ZMB
eSwatini,-0.560457035721445,-0.560457035721445,SWZ
Bolivia,-0.5619595780179312,-0.5619595780179312,BOL
Lesotho,-0.5748352152102302,-0.5748352152102302,LSO
Eq. Guinea,-0.5842306862969654,-0.5842306862969654,GNQ
Senegal,-0.5914578918529846,-0.5914578918529846,SEN
Nicaragua,-0.5932537334212308,-0.5932537334212308,NIC
Vanuatu,-0.5992123182301086,-0.5992123182301086,VUT
Côte d'Ivoire,-0.6175628521154025,-0.6175628521154025,CIV
Honduras,-0.6669955743059722,-0.6669955743059722,HND
Venezuela,-0.6719004893511682,-0.6719004893511682,VEN
Cambodia,-0.6783016580999536,-0.6783016580999536,KHM
Cameroon,-0.6841791654012543,-0.6841791654012543,CMR
Tanzania,-0.6850414551662293,-0.6850414551662293,TZA
Mauritania,-0.6874986189803163,-0.6874986189803163,MRT
Solomon Is.,-0.6954022826018126,-0.6954022826018126,SLB
Gambia,-0.6968029301134714,-0.6968029301134714,GMB
Pakistan,-0.7093614741080608,-0.7093614741080608,PAK
Kenya,-0.7110148386850024,-0.7110148386850024,KEN
Benin,-0.7293754500735828,-0.7293754500735828,BEN
