name,ind_G1,ind_G2,ind_G3,ind_G4,ind_G5,ind_G6,ind_G7,weighted_mean,iso_a3
Austria,0.6354996934396075,0.2673053569019026,0.46266290993366965,0.8810324278753003,0.4846626275979933,0.16912010705921798,0.38283658787255914,0.46901710152575005,AUT
France,0.574187614960147,0.5943867224396167,0.46309053499405506,0.6345769587751464,0.37640100751300754,0.10835426024829398,0.47327852004110993,0.4606108027101966,FRA
Ireland,0.7826486817903127,0.6005937120496558,0.6579565540664778,0.7969682479166211,-0.013888292294772175,-0.1224489795918367,0.4897225077081192,0.4559360616635111,IRL
Uruguay,1.2651747394236663,0.3846984212656861,0.6279364126350071,0.4390484739601208,0.06379536924088569,-0.08771387342815834,0.36947584789311405,0.43748791299861745,URY
Namibia,1.091048436541999,0.5566050465524222,-0.02731774896219863,0.26796441592985243,0.6067269296692712,0.22213500784929308,0.34480986639260014,0.4374245648533199,NAM
Japan,0.744635193133047,0.3903656726487654,0.5947997814174166,0.8114908383804522,,-0.3381421534130893,0.39003083247687564,0.43219669410724465,JPN
Spain,1.3056407112201105,0.5763054918364592,0.19340969764394456,0.4542387971678734,-0.13631125456102655,0.20171335009648494,0.4157245632065777,0.43010305094434625,ESP
Canada,0.7483139178418149,0.4956146269059505,0.6505039080972272,0.8152502925104088,-0.26308959581368474,-0.002475546431590203,0.460945529290853,0.41500901891442565,CAN
Lithuania,1.2578172900061313,0.20847389016327078,0.22240271032995862,0.5768927010849532,0.2220966463522691,-0.03683601100014522,0.4414182939362796,0.4131807886961025,LTU
Israel,0.9659717964438993,0.3185804884630954,0.2383677431633946,0.5226999507715926,0.41426565264452164,-0.11904761904761957,0.37358684480986637,0.3877749796069644,ISR
Italy,1.1940527283874927,0.27324247739846164,0.11942571936313229,0.217303272339737,0.4321742431535234,0.026530612244898055,0.434224049331963,0.385279014602744,ITA
Portugal,0.815144083384427,0.24922412629874513,0.21393774405050126,0.6021681503190828,0.2643454731068191,0.10337178349600662,0.44655704008221997,0.38496405724825744,PRT
South Korea,1.2614960147148988,0.36769666711644855,0.2230678022263768,0.6237331182945041,-0.03851599279426576,-0.19560705638187426,0.4157245632065777,0.3796564451975238,KOR
